actor_id,iso3,display_name,actor_type,current_active_flag,wto_reporter_code,canonical_name,review_status,ttd_reporter_supported,keep_active,review_notes
PNG,PNG,Papua New Guinea,country,yes,598,Papua New Guinea,reviewed,yes,yes,
PRI,PRI,Puerto Rico,country,yes,630,Puerto Rico,reviewed,no,no,
PRK,PRK,"Korea, Democratic People's Republic of",country,yes,408,"Korea, Democratic People's Republic of",reviewed,yes,yes,
PRY,PRY,Paraguay,country,yes,600,Paraguay,reviewed,yes,yes,
PSE,PSE,"Palestine, State of",country,yes,275,"Palestine, State of",reviewed,no,no,
PYF,PYF,French Polynesia,country,yes,258,French Polynesia,reviewed,no,no,
QAT,QAT,Qatar,country,yes,634,Qatar,reviewed,yes,yes,
REU,REU,Réunion,country,yes,638,Réunion,reviewed,no,no,
RUS,RUS,Russia,country,yes,643,Russia,reviewed,yes,yes,
RWA,RWA,Rwanda,country,yes,646,Rwanda,reviewed,yes,yes,
SAU,SAU,Saudi Arabia,country,yes,682,Saudi Arabia,reviewed,yes,yes,
SDN,SDN,Sudan,country,yes,729,Sudan,reviewed,yes,yes,
SEN,SEN,Senegal,country,yes,686,Senegal,reviewed,yes,yes,
SGP,SGP,Singapore,country,yes,702,Singapore,reviewed,yes,yes,
SGS,SGS,South Georgia and the South Sandwich Islands,country,yes,239,South Georgia and the South Sandwich Islands,reviewed,no,no,
SHN,SHN,"Saint Helena, Ascension and Tristan da Cunha",country,yes,654,"Saint Helena, Ascension and Tristan da Cunha",reviewed,no,no,
SJM,SJM,Svalbard and Jan Mayen,country,yes,744,Svalbard and Jan Mayen,reviewed,no,no,
SLB,SLB,Solomon Islands,country,yes,090,Solomon Islands,reviewed,yes,yes,
SLE,SLE,Sierra Leone,country,yes,694,Sierra Leone,reviewed,yes,yes,
SLV,SLV,El Salvador,country,yes,222,El Salvador,reviewed,yes,yes,
SMR,SMR,San Marino,country,yes,674,San Marino,reviewed,no,no,
SOM,SOM,Somalia,country,yes,706,Somalia,reviewed,yes,yes,
SPM,SPM,Saint Pierre and Miquelon,country,yes,666,Saint Pierre and Miquelon,reviewed,no,no,
SRB,SRB,Serbia,country,yes,688,Serbia,reviewed,yes,yes,
SSD,SSD,South Sudan,country,yes,728,South Sudan,reviewed,yes,yes,
STP,STP,Sao Tome and Principe,country,yes,678,Sao Tome and Principe,reviewed,yes,yes,
SUR,SUR,Suriname,country,yes,740,Suriname,reviewed,yes,yes,
SWZ,SWZ,Eswatini,country,yes,748,Eswatini,reviewed,yes,yes,
SXM,SXM,Sint Maarten (Dutch part),country,yes,534,Sint Maarten (Dutch part),reviewed,no,no,
SYC,SYC,Seychelles,country,yes,690,Seychelles,reviewed,yes,yes,
SYR,SYR,Syrian Arab Republic,country,yes,760,Syrian Arab Republic,reviewed,yes,yes,
TCA,TCA,Turks and Caicos Islands,country,yes,796,Turks and Caicos Islands,reviewed,no,no,
TCD,TCD,Chad,country,yes,148,Chad,reviewed,yes,yes,
TGO,TGO,Togo,country,yes,768,Togo,reviewed,yes,yes,
THA,THA,Thailand,country,yes,764,Thailand,reviewed,yes,yes,
TJK,TJK,Tajikistan,country,yes,762,Tajikistan,reviewed,yes,yes,
TKL,TKL,Tokelau,country,yes,772,Tokelau,reviewed,no,no,
TKM,TKM,Turkmenistan,country,yes,795,Turkmenistan,reviewed,yes,yes,
TLS,TLS,Timor-Leste,country,yes,626,Timor-Leste,reviewed,yes,yes,
TON,TON,Tonga,country,yes,776,Tonga,reviewed,yes,yes,
TTO,TTO,Trinidad and Tobago,country,yes,780,Trinidad and Tobago,reviewed,yes,yes,
TUN,TUN,Tunisia,country,yes,788,Tunisia,reviewed,yes,yes,
TUR,TUR,Turkey,country,yes,792,Turkey,reviewed,yes,yes,
TUV,TUV,Tuvalu,country,yes,798,Tuvalu,reviewed,no,no,
TWN,TWN,"Taiwan, Province of China",country,yes,158,"Taiwan, Province of China",reviewed,no,no,
TZA,TZA,"Tanzania, United Republic of",country,yes,834,"Tanzania, United Republic of",reviewed,yes,yes,
UGA,UGA,Uganda,country,yes,800,Uganda,reviewed,yes,yes,
UKR,UKR,Ukraine,country,yes,804,Ukraine,reviewed,yes,yes,
UMI,UMI,United States Minor Outlying Islands,country,yes,581,United States Minor Outlying Islands,reviewed,yes,yes,
URY,URY,Uruguay,country,yes,858,Uruguay,reviewed,yes,yes,
USA,USA,United States,country,yes,840,United States,reviewed,yes,yes,
