year,pair_id,pair_label,reporter_id,reporter_iso3,reporter_name,partner_id,partner_iso3,partner_name,trade_value_usd,trade_value_usd_m,trade_weighted_applied_tariff_pct,simple_avg_effectively_applied_pct,tariff_agreement_count,ntm_penalty_points,trade_remedy_penalty_points,tariff_component,goods_score_live_v1,rta_in_force,agreement_id,agreement_name,goods_coverage,in_force_date,score_method,source_stack,score_status,penalty_basis,notes,reporter_mfn_weighted_applied_tariff_pct,reporter_mfn_simple_avg_effectively_applied_pct,bilateral_preferential_tariff_pct,bilateral_simple_avg_tariff_pct,tariff_basis,preference_source_label,preference_source_url,preference_notes
2023,BRA__ARG,Brazil imports from Argentina,BRA,BRA,Brazil,ARG,ARG,Argentina,11997506946.0,11997.506946,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__AUS,Brazil imports from Australia,BRA,BRA,Brazil,AUS,AUS,Australia,2000222338.0,2000.222338,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__CAN,Brazil imports from Canada,BRA,BRA,Brazil,CAN,CAN,Canada,3376162168.0,3376.162168,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__CHN,Brazil imports from China,BRA,BRA,Brazil,CHN,CHN,China,53175757148.0,53175.757148,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__GBR,Brazil imports from United Kingdom,BRA,BRA,Brazil,GBR,GBR,United Kingdom,2829168878.0,2829.168878,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__IDN,Brazil imports from Indonesia,BRA,BRA,Brazil,IDN,IDN,Indonesia,1465401335.0,1465.401335,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__IND,Brazil imports from India,BRA,BRA,Brazil,IND,IND,India,6873149275.0,6873.149275,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__JPN,Brazil imports from Japan,BRA,BRA,Brazil,JPN,JPN,Japan,5128511630.0,5128.51163,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__KOR,Brazil imports from South Korea,BRA,BRA,Brazil,KOR,KOR,South Korea,4826870549.0,4826.870549,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__MEX,Brazil imports from Mexico,BRA,BRA,Brazil,MEX,MEX,Mexico,5541362812.0,5541.362812,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__RUS,Brazil imports from Russia,BRA,BRA,Brazil,RUS,RUS,Russia,10012627611.0,10012.627611,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__SAU,Brazil imports from Saudi Arabia,BRA,BRA,Brazil,SAU,SAU,Saudi Arabia,3531822499.0,3531.822499,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__TUR,Brazil imports from Turkey,BRA,BRA,Brazil,TUR,TUR,Turkey,1132392091.0,1132.392091,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
2023,BRA__USA,Brazil imports from United States,BRA,BRA,Brazil,USA,USA,United States,37958896968.0,37958.896968,6.700,11.200,0,0.0,0.0,73.2,73.200,no,,,,,wto_ttd_v1 = clamp(100 - 4*reporter_trade_weighted_mfn_pct - ntm_penalty_points - trade_remedy_penalty_points),Manual bilateral imports raw extract + WTO Timeseries API reporter MFN all-products + local agreement and penalty registries,built,,Reporter-level MFN tariff baseline applied; not yet bilateral preferential tariff data.,6.700,11.200,,,reporter_mfn_fallback,,,
