logical_dataset,batch_id,provider,enabled_flag,request_url,output_filename,auth_location,auth_name,subscription_env_var,timeout_seconds,notes
mfn_simple_average_all_products,SAU_2026,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2026,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2026
mfn_simple_average_all_products,SAU_2025,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2025,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2025
mfn_simple_average_all_products,SAU_2024,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2024,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2024
mfn_simple_average_all_products,SAU_2023,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2023,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2023
mfn_simple_average_all_products,SAU_2022,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2022,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2022
mfn_simple_average_all_products,SAU_2021,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2021,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2021
mfn_simple_average_all_products,SAU_2020,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2020,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2020
mfn_simple_average_all_products,SAU_2019,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2019,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2019
mfn_simple_average_all_products,SAU_2018,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2018,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2018
mfn_simple_average_all_products,SAU_2017,WTO,yes,https://api.wto.org/timeseries/v1/data?i=TP_A_0010&r=682&ps=2017,mfn_simple_average_latest.csv,query_param,subscription-key,WTO_API_KEY,120,Simple average MFN applied tariff - all products | reporter=Saudi Arabia | year=2017
